id,apellido,nombre,id_pais,fecha_nacimiento,fecha_defuncion,biografia,created_at
1,Echeverry Correa,Camilo Andrés (Camilo),12,1994-01-01,,,2025-12-06 03:45:14.417159+00
2,Abba,,37,,,,2025-12-06 03:45:14.417159+00
3,Adam,Adolphe,20,1803-01-01,1856-01-01,,2025-12-06 03:45:14.417159+00
4,Adams,Olivier,6,1968-01-01,,,2025-12-06 03:45:14.417159+00
5,Agri,Antonio,2,1932-01-01,1998-01-01,,2025-12-06 03:45:14.417159+00
6,Agri,Pablo,2,1968-01-01,,,2025-12-06 03:45:14.417159+00
7,Albrechtsberger,Johann Georg,5,1736-01-01,1809-01-01,,2025-12-06 03:45:14.417159+00
8,Alsuyet,Claudio,2,1957-01-01,,,2025-12-06 03:45:14.417159+00
9,Álvarez,Julián,26,1956-01-01,2023-01-01,,2025-12-06 03:45:14.417159+00
10,Anderson-López,Kristen,17,1972-01-01,,,2025-12-06 03:45:14.417159+00
11,Anderson,Leroy,17,1908-01-01,1975-01-01,,2025-12-06 03:45:14.417159+00
12,Aquilanti,Giancarlo,24,1959-01-01,,,2025-12-06 03:45:14.417159+00
13,Ariaudo,Julián,2,,,,2025-12-06 03:45:14.417159+00
14,Aristimuño,Lisandro,2,1978-01-01,,,2025-12-06 03:45:14.417159+00
15,Arlen,Harold,17,1905-01-01,1986-01-01,,2025-12-06 03:45:14.417159+00
16,Arnold,Malcolm,22,1921-01-01,2006-01-01,,2025-12-06 03:45:14.417159+00
17,Arutunian,Alexander,4,1920-01-01,2012-01-01,,2025-12-06 03:45:14.417159+00
18,Ayala,Ramón,2,1927-01-01,2023-01-01,,2025-12-06 03:45:14.417159+00
19,Aznar,Pedro,2,1959-01-01,,,2025-12-06 03:45:14.417159+00
20,Bacalov,Luis,2,1933-01-01,2017-01-01,,2025-12-06 03:45:14.417159+00
21,Bach,Johann Sebastian,1,1685-01-01,1750-01-01,,2025-12-06 03:45:14.417159+00
22,Barber,Samuel,17,1910-01-01,1981-01-01,,2025-12-06 03:45:14.417159+00
23,Barbosa,Arthur,8,1965-01-01,,,2025-12-06 03:45:14.417159+00
24,Barcos,Miguel Ángel,2,1945-01-01,,,2025-12-06 03:45:14.417159+00
25,Bartók,Béla,34,1885-01-01,1941-01-01,,2025-12-06 03:45:14.417159+00
26,Beach,Amy Marcy,17,1867-01-01,1944-01-01,,2025-12-06 03:45:14.417159+00
27,Beethoven,Ludwig van,1,1770-01-01,1827-01-01,,2025-12-06 03:45:14.417159+00
28,Berbel,Marcelo,2,1925-01-01,2003-01-01,,2025-12-06 03:45:14.417159+00
29,Berlin,Irving,17,1888-01-01,1989-01-01,,2025-12-06 03:45:14.417159+00
30,Berlioz,Hector,20,1803-01-01,1869-01-01,,2025-12-06 03:45:14.417159+00
31,Bernstein,Leonard,17,1918-01-01,1990-01-01,,2025-12-06 03:45:14.417159+00
32,Bizet,Georges,20,1838-01-01,1875-01-01,,2025-12-06 03:45:14.417159+00
33,Bob Thiele/George David Weiss,,,,,,2025-12-06 03:45:14.417159+00
